geo_code,,Secondary (high) school diploma or equivalency certificate,"College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,Bachelor's degree,"Degree in medicine, dentistry, veterinary medicine or optometry",Master's degree,Earned doctorate
35250050,male,35,20,0,45,0,10,0
35250051,female,145,130,30,160,0,55,20
35250051,male,115,90,10,130,15,50,25
35250052,female,35,35,0,30,0,15,0
35250052,male,20,25,0,35,0,15,0
35250053,female,60,50,10,70,10,40,0
35250053,male,45,35,0,70,15,45,20
35250054,female,35,70,0,25,0,20,0
35250054,male,45,15,0,15,0,30,10
35250055,female,55,60,10,105,10,30,15
35250055,male,70,50,15,65,0,10,10
35250056,female,25,20,0,15,0,15,0
35250056,male,30,30,0,20,0,10,0
35250059,female,135,70,15,145,0,25,10
35250059,male,105,80,15,85,10,45,15
35250060,female,55,55,0,80,15,50,0
35250060,male,65,35,15,55,0,30,0
35250061,female,55,45,0,55,10,10,0
35250061,male,30,30,0,50,0,20,15
35250062,female,50,60,0,70,10,15,0
35250062,male,65,30,0,60,0,35,0
35250064,female,70,65,10,90,10,30,15
35250064,male,90,50,20,80,10,15,10
35250065,female,40,30,0,90,10,30,10
35250065,male,35,45,10,60,15,35,10
35250066,female,55,25,10,55,0,20,10
35250066,male,40,15,10,30,0,35,0
35250067,female,65,75,10,60,0,25,10
35250067,male,40,75,10,60,0,20,10
35250070,female,60,45,0,40,0,15,0
35250070,male,50,40,0,25,0,20,0
35250073,female,40,80,10,40,0,0,0
35250073,male,40,40,0,20,0,10,0
35250074,female,25,30,0,35,0,0,10
35250074,male,40,25,0,25,0,0,10
35250075,female,55,60,10,20,10,10,0
35250075,male,70,55,0,10,0,10,0
35250077,female,125,50,10,40,0,15,0
35250077,male,60,30,0,25,0,10,0
35250078,female,55,40,10,10,0,25,10
35250078,male,35,35,0,20,0,20,0
35250079,female,30,25,10,0,0,0,0
35250079,male,30,35,10,0,0,0,0
35250080,female,90,45,10,45,0,10,0
35250080,male,65,50,10,15,0,20,0
35250081,female,135,120,10,50,10,10,0
35250081,male,135,60,10,45,0,0,10
35250082,female,20,30,10,15,0,10,0
35250082,male,10,25,10,10,0,10,0
35250083,female,55,65,20,50,0,15,0
35250083,male,50,30,10,55,0,10,0
35250084,female,45,25,0,15,0,0,0
35250084,male,45,25,10,0,0,10,0
35250085,female,40,40,0,20,10,0,0
35250085,male,30,25,0,10,0,0,0
35250086,female,60,55,10,30,0,10,0
35250086,male,40,25,0,20,0,0,0
35250087,female,55,60,20,45,0,0,0
35250087,male,65,30,10,30,0,20,10
35250088,female,50,55,0,30,0,10,0
35250088,male,35,30,0,60,0,15,0
35250089,female,100,80,10,20,0,0,0
35250089,male,50,45,10,20,0,0,0
35250093,female,75,70,10,10,0,10,0
35250093,male,75,60,0,10,0,15,0
35250094,female,55,65,0,20,0,0,0
35250094,male,30,50,10,10,0,0,0
35250095,female,40,40,15,50,0,10,0
35250095,male,55,70,10,30,0,10,10
35250096,female,75,80,0,40,0,0,0
35250096,male,65,60,10,25,0,0,0
35250097,female,30,55,0,35,0,0,0
35250097,male,25,20,0,55,0,10,0
35250098,female,30,10,10,35,0,10,0
35250098,male,35,15,0,35,0,15,0
35250099,female,60,120,10,60,10,25,0
35250099,male,95,80,10,65,0,20,10
35250100,female,55,75,0,55,0,10,0
35250100,male,50,60,10,20,0,0,10
35250101,female,45,45,10,50,0,25,0
35250101,male,55,35,0,30,0,15,0
35250102,female,20,25,0,15,0,15,0
35250102,male,25,15,10,30,0,10,10
35250105,female,60,40,15,35,0,35,0
35250105,male,65,75,10,30,10,0,0
35250106,female,55,65,10,35,10,0,0
35250106,male,35,50,0,15,0,10,0
35250107,female,65,50,0,45,0,20,0
35250107,male,55,55,0,30,0,10,0
35250108,female,55,45,20,20,0,15,0
35250108,male,50,60,10,15,0,15,10
35250109,female,60,70,15,65,0,25,10
35250109,male,65,65,0,45,10,20,0
35250110,female,55,70,0,45,0,15,0
35250110,male,70,60,0,20,0,0,10
35250111,female,115,75,0,30,0,0,10
35250111,male,55,15,0,20,0,15,0
35250112,female,55,60,0,0,0,0,0
35250112,male,30,45,10,10,0,0,0
35250113,female,40,25,0,25,0,0,0
35250113,male,40,30,15,15,0,10,0
35250114,female,15,35,0,30,0,10,0
35250114,male,40,45,0,15,0,10,0
35250115,female,195,200,20,90,0,20,0
35250115,male,150,135,0,70,0,10,0
35250116,female,130,90,10,35,0,0,0
35250116,male,100,70,0,25,0,0,0
35250117,female,20,30,0,10,0,0,0
35250117,male,25,15,0,10,0,0,0
35250118,female,65,50,0,25,0,0,0
35250118,male,40,45,0,0,0,0,0
35250119,female,75,70,0,20,0,0,0
35250119,male,80,35,0,30,10,10,10
35250120,female,35,80,10,30,0,10,0
35250120,male,40,50,0,40,0,0,0
35250121,female,110,50,10,25,0,0,0
35250121,male,55,25,10,0,0,0,0
35250122,female,20,45,10,25,0,0,0
35250122,male,30,35,0,15,10,0,0
35250123,female,30,45,10,25,0,10,0
35250123,male,55,30,0,10,0,15,0
35250124,female,60,55,0,10,0,0,0
35250124,male,55,45,10,0,0,0,0
35250125,female,60,45,0,25,0,0,0
35250125,male,50,20,0,15,0,0,10
35250126,female,80,65,10,15,0,0,0
35250126,male,90,50,15,15,0,10,0
35250127,female,160,130,0,185,0,40,0
35250127,male,205,130,15,95,10,35,0
35250128,female,55,45,10,35,0,10,0
35250128,male,55,50,0,30,0,15,0
35250129,female,60,35,10,25,0,0,0
35250129,male,40,30,0,25,0,0,0
35250130,female,45,45,0,35,0,15,0
35250130,male,25,40,0,10,10,20,10
35250133,female,50,40,10,10,0,10,0
35250133,male,0,20,0,10,0,0,10
35250134,female,100,90,10,40,0,25,0
35250134,male,55,55,20,35,0,15,0
35250135,female,215,160,20,145,10,45,0
35250135,male,200,165,20,95,20,15,0
35250136,female,55,20,0,35,0,10,0
35250136,male,45,45,0,30,10,0,0
35250137,female,30,45,0,35,0,0,0
35250137,male,50,35,0,15,0,0,0
35250144,female,150,155,25,140,15,35,10
35250144,male,190,120,10,115,15,25,15
35250145,female,30,60,10,75,0,0,0
35250145,male,20,55,0,50,0,10,0
35250146,female,75,85,10,90,0,15,0
35250146,male,85,65,0,110,30,10,0
35250147,female,20,40,10,70,0,0,0
35250147,male,45,50,0,40,0,10,0
35250148,female,75,25,0,75,0,0,0
35250148,male,50,70,0,35,0,10,0
35250149,female,35,65,0,65,0,20,0
35250149,male,40,35,0,65,0,15,10
35250150,female,85,70,10,25,0,25,0
35250150,male,50,55,10,25,0,10,0
35250151,female,25,35,10,75,0,0,0
35250151,male,25,40,10,30,10,25,10
35250152,female,155,125,10,175,15,45,0
35250152,male,110,105,0,145,10,45,10
35250153,female,55,55,10,80,0,10,10
35250153,male,35,60,0,55,0,25,0
35250156,female,40,55,0,30,0,0,10
35250156,male,15,20,10,30,0,15,0
35250158,female,25,15,10,65,20,25,10
35250158,male,50,30,10,35,25,35,0
35250159,female,40,55,0,45,10,15,0
35250159,male,30,20,10,45,10,20,10
35250160,female,45,45,10,45,0,0,10
35250160,male,35,30,0,20,10,0,0
35250161,female,50,45,10,85,20,20,0
35250161,male,50,50,0,85,15,30,10
35250162,female,30,40,10,50,0,20,0
35250162,male,25,40,0,65,0,15,0
35250163,female,70,55,10,65,10,15,10
35250163,male,45,25,0,70,25,15,0
35250164,female,60,60,15,45,0,10,0
35250164,male,40,35,0,50,0,10,0
35250172,female,65,65,10,15,0,10,0
35250172,male,55,45,0,15,10,10,0
35250173,female,135,195,0,40,0,10,0
35250173,male,135,105,0,35,0,0,0
35250175,female,195,180,10,80,10,15,0
35250175,male,195,105,10,45,0,10,0
35250176,female,90,100,10,35,0,10,0
35250176,male,90,80,0,20,0,10,0
35250177,female,85,90,10,70,0,10,0
35250177,male,65,45,10,50,10,10,0
35250178,female,85,60,15,30,0,10,0
35250178,male,60,60,0,10,0,0,10
35250179,female,95,80,0,25,0,10,0
35250179,male,105,70,10,35,0,15,0
35250180,female,125,190,0,90,0,30,0
35250180,male,120,160,15,55,0,25,0
35250181,female,75,50,10,20,0,10,0
35250181,male,60,55,0,10,0,0,0
35250183,female,40,40,0,0,0,0,0
35250183,male,40,20,0,10,0,10,0
35250184,female,50,70,10,10,0,10,0
35250184,male,45,45,0,0,0,0,0
35250185,female,55,45,0,20,0,0,0
35250185,male,60,30,0,10,0,0,0
35250186,female,45,40,0,0,0,0,0
35250186,male,50,20,0,0,0,0,0
35250188,female,85,70,10,80,0,20,0
35250188,male,80,50,0,55,0,10,0
35250189,female,50,95,0,30,0,20,0
35250189,male,90,55,10,35,0,0,0
35250190,female,70,55,0,15,0,10,0
35250190,male,40,45,10,0,0,0,0
35250191,female,90,90,10,25,0,0,0
35250191,male,100,55,10,0,0,10,0
35250192,female,175,145,15,140,0,10,0
35250192,male,125,145,25,110,0,0,0
35250193,female,30,45,0,35,0,10,0
35250193,male,35,45,0,10,0,10,0
35250194,female,45,55,0,25,0,10,0
35250194,male,50,65,10,15,0,10,0
35250196,female,55,55,10,30,0,0,0
35250196,male,45,45,15,20,0,0,0
35250197,female,80,65,0,30,0,0,0
35250197,male,45,55,10,15,0,15,0
35250199,female,305,320,35,245,15,45,15
35250199,male,335,175,30,140,10,60,10
35250200,female,75,85,0,75,0,0,0
35250200,male,65,105,10,35,0,0,10
35250201,female,50,10,0,10,0,0,0
35250201,male,30,20,0,15,0,0,0
35250202,female,145,110,0,45,0,10,10
35250202,male,170,95,0,40,0,10,0
35250203,female,170,95,10,15,0,10,10
35250203,male,155,70,10,30,0,10,0
35250204,female,180,75,15,20,0,10,0
35250204,male,130,60,10,25,0,0,0
35250205,female,45,20,10,10,0,10,0
35250205,male,55,15,0,10,0,0,0
35250206,female,60,70,0,45,0,15,0
35250206,male,90,65,0,20,0,0,0
35250207,female,35,25,10,35,0,0,0
35250207,male,20,35,10,15,0,10,0
35250208,female,70,45,0,20,0,10,0
35250208,male,45,30,0,30,0,10,0
35250209,female,55,55,0,15,0,15,0
35250209,male,25,20,0,30,0,10,0
35250210,female,70,40,0,45,0,10,0
35250210,male,55,55,0,20,0,15,0
35250211,female,60,30,10,20,0,10,0
35250211,male,35,20,10,15,0,0,0
35250212,female,60,65,0,10,0,0,0
35250212,male,50,35,0,35,0,10,0
35250213,female,60,50,0,10,0,0,0
35250213,male,50,30,10,15,0,0,0
35250216,female,65,45,0,10,0,0,0
35250216,male,55,25,10,20,0,0,0
35250217,female,100,50,10,25,0,10,0
35250217,male,40,45,0,15,0,10,0
35250218,female,70,60,10,25,0,0,0
35250218,male,65,45,0,15,0,10,0
35250221,female,75,75,0,0,0,0,0
35250221,male,80,70,0,15,0,0,0
35250222,female,80,45,10,20,0,0,0
35250222,male,75,25,10,20,0,0,0
35250223,female,90,15,0,25,0,0,0
35250223,male,80,50,0,10,0,10,0
35250224,female,55,15,0,10,0,0,0
35250224,male,20,20,10,10,0,10,0
35250225,female,75,40,0,10,0,0,0
35250225,male,75,30,0,0,0,10,0
35250226,female,85,65,10,35,0,0,0
35250226,male,65,50,0,0,0,0,0
35250227,female,70,55,10,15,0,15,0
35250227,male,65,50,0,15,0,0,0
35250230,female,55,25,10,30,0,0,0
35250230,male,65,35,10,15,0,10,0
35250231,female,110,30,0,25,0,0,0
35250231,male,75,25,0,20,0,10,0
35250232,female,115,80,0,10,0,10,0
35250232,male,70,25,0,10,0,0,0
35250233,female,45,35,10,35,0,10,0
35250233,male,55,45,0,20,0,10,0
35250234,female,50,25,0,15,0,0,0
35250234,male,30,15,0,10,0,0,0
35250238,female,90,70,0,25,0,0,0
35250238,male,130,30,10,25,0,10,0
35250239,female,35,45,0,15,0,0,0
35250239,male,35,15,0,35,0,0,0
35250240,female,65,35,0,10,0,0,0
35250240,male,70,40,0,10,0,0,0
35250241,female,40,20,0,15,0,10,0
35250241,male,30,15,0,20,0,0,0
35250242,female,x,x,x,x,x,x,x
35250242,male,x,x,x,x,x,x,x
35250243,female,185,75,0,40,10,15,0
35250243,male,160,55,10,25,0,10,0
35250248,female,90,135,0,35,0,15,0
35250248,male,125,65,15,20,0,10,0
35250249,female,90,35,0,15,0,15,0
35250249,male,50,25,10,10,0,0,10
35250250,female,65,55,0,25,0,0,0
35250250,male,45,60,10,15,0,0,0
35250251,female,60,45,0,20,0,0,0
35250251,male,50,30,0,15,0,10,0
35250254,female,120,80,10,30,0,10,0
35250254,male,115,60,0,15,0,0,0
35250255,female,55,45,0,25,0,10,0
35250255,male,65,45,0,15,0,0,10
35250256,female,95,70,10,40,10,10,0
35250256,male,80,55,0,25,0,0,0
35250257,female,100,65,0,45,0,0,0
35250257,male,65,70,10,30,0,15,0
35250258,female,90,90,15,45,0,10,0
35250258,male,85,50,10,20,0,0,0
35250259,female,80,40,10,25,0,10,0
35250259,male,70,50,0,30,0,0,0
35250260,female,115,60,0,15,0,0,0
35250260,male,75,10,0,25,0,10,0
35250261,female,70,50,10,10,0,0,0
35250261,male,75,35,0,0,0,0,0
35250262,female,120,45,0,40,0,0,0
35250262,male,55,45,0,35,0,10,0
35250263,female,115,70,10,40,0,10,0
35250263,male,105,70,0,65,0,0,0
35250264,female,45,40,10,25,0,10,0
35250264,male,50,25,10,30,0,10,0
35250265,female,55,40,0,35,0,20,0
35250265,male,45,35,0,20,0,0,0
35250266,female,25,50,0,10,0,0,0
35250266,male,45,30,0,10,0,0,0
35250267,female,60,60,0,30,0,0,0
35250267,male,85,40,0,25,0,10,0
35250269,female,20,10,0,15,0,0,0
35250269,male,20,30,0,10,0,15,0
35250270,female,50,30,0,25,0,10,0
35250270,male,35,20,0,25,0,0,0
35250271,female,60,20,0,10,0,10,0
35250271,male,80,40,0,25,0,10,0
35250272,female,50,25,10,15,0,20,0
35250272,male,40,35,10,10,0,10,0
35250273,female,55,35,0,20,0,10,0
35250273,male,55,20,0,20,0,10,0
35250274,female,135,150,0,45,0,0,0
35250274,male,130,90,0,15,0,15,0
35250275,female,60,35,15,15,0,0,0
35250275,male,85,55,0,0,0,0,0
35250276,female,95,55,0,35,0,10,0
35250276,male,85,50,10,20,0,10,0
35250277,female,60,65,0,25,0,0,0
35250277,male,25,35,0,10,0,0,0
35250278,female,75,35,0,20,0,0,0
35250278,male,70,30,0,0,0,0,0
35250279,female,90,65,0,35,0,0,0
35250279,male,105,30,0,20,0,0,0
35250280,female,60,20,0,15,0,0,0
35250280,male,50,40,0,10,0,0,0
35250281,female,70,70,10,10,10,10,0
35250281,male,55,50,10,10,0,0,0
35250282,female,110,30,10,25,10,0,0
35250282,male,80,50,0,25,0,0,0
35250283,female,80,60,0,25,0,10,0
35250283,male,60,45,10,30,0,0,0
35250284,female,75,25,0,15,0,0,0
35250284,male,80,30,0,25,0,0,0
35250285,female,80,50,10,65,0,25,0
35250285,male,90,80,0,25,0,10,0
35250286,female,15,50,0,30,0,0,0
35250286,male,30,20,0,10,0,0,0
35250287,female,90,100,0,45,0,0,0
35250287,male,105,65,0,40,0,10,0
35250288,female,45,45,15,20,0,10,0
35250288,male,45,50,0,0,0,0,0
35250289,female,55,65,10,40,0,0,0
35250289,male,55,70,10,40,0,10,10
35250290,female,85,70,10,15,0,10,0
35250290,male,75,70,0,10,0,0,0
35250291,female,100,110,15,85,0,20,0
35250291,male,130,85,0,65,0,10,0
35250293,female,135,75,0,35,0,20,0
35250293,male,120,105,10,50,0,0,0
35250294,female,55,50,10,30,0,0,0
35250294,male,75,45,0,10,10,0,0
35250295,female,60,40,10,20,0,10,0
35250295,male,40,35,0,30,0,10,0
35250296,female,65,60,0,50,0,10,0
35250296,male,40,30,15,0,0,0,0
35250297,female,100,40,10,45,0,0,0
35250297,male,65,55,10,25,0,10,0
35250298,female,40,55,10,50,0,15,0
35250298,male,50,50,0,30,0,20,0
35250299,female,95,45,15,40,10,10,0
35250299,male,90,45,10,55,0,10,0
35250300,female,110,80,0,55,0,0,0
35250300,male,95,60,15,45,0,15,0
35250302,female,35,25,0,45,0,0,0
35250302,male,45,50,0,20,0,10,0
35250303,female,65,30,0,15,0,10,0
35250303,male,40,20,0,20,0,10,0
35250304,female,110,50,0,15,0,10,0
35250304,male,85,35,0,35,0,10,0
35250305,female,110,50,0,15,0,10,0
35250305,male,70,55,10,10,0,0,10
35250306,female,40,60,0,0,0,15,0
35250306,male,35,40,0,20,0,10,0
35250307,female,70,30,0,10,0,10,0
35250307,male,55,40,10,15,0,0,0
35250308,female,95,120,0,80,0,30,0
35250308,male,80,70,0,50,10,10,0
35250309,female,55,40,0,35,0,0,0
35250309,male,60,35,0,20,0,0,0
35250310,female,45,30,10,20,0,10,0
35250310,male,50,40,0,15,0,15,0
35250311,female,100,65,15,45,0,0,0
35250311,male,55,35,0,25,0,10,0
35250312,female,65,30,0,30,0,0,0
35250312,male,40,35,10,35,0,10,0
35250313,female,95,60,10,35,0,15,0
35250313,male,60,80,10,60,0,0,10
35250315,female,130,120,10,50,0,10,0
35250315,male,80,75,10,35,0,0,0
35250316,female,85,90,0,55,0,15,0
35250316,male,45,55,0,20,10,30,0
35250317,female,55,55,10,50,0,10,10
35250317,male,35,85,0,15,0,20,0
35250318,female,0,10,0,10,0,0,0
35250318,male,20,10,0,0,0,0,0
35250319,female,70,35,0,20,0,10,0
35250319,male,35,50,0,10,0,0,0
35250320,female,60,45,0,15,0,10,0
35250320,male,75,30,10,20,0,10,0
35250321,female,35,30,0,0,0,0,0
35250321,male,35,35,0,10,0,10,0
35250322,female,60,50,0,0,0,0,0
35250322,male,65,15,0,0,0,0,0
35250323,female,70,35,0,10,0,0,0
35250323,male,60,25,0,10,0,0,0
35250324,female,125,75,0,0,0,0,0
35250324,male,60,15,0,0,0,0,0
35250326,female,50,55,0,20,0,0,0
35250326,male,50,35,0,10,0,0,0
35250327,female,130,55,0,10,0,0,0
35250327,male,105,35,0,15,0,0,0
35250328,female,65,40,0,15,0,0,0
35250328,male,45,30,0,10,0,0,0
35250329,female,65,35,0,30,0,0,0
35250329,male,100,45,0,0,0,10,0
35250330,female,50,35,0,0,0,0,0
35250330,male,30,20,10,10,0,0,0
35250331,female,35,55,0,10,0,0,0
35250331,male,40,25,0,0,0,0,0
35250332,female,70,60,10,20,0,0,0
35250332,male,55,55,0,0,0,0,0
35250333,female,75,75,0,25,0,15,0
35250333,male,75,70,10,10,0,0,0
35250334,female,70,80,0,35,0,0,0
35250334,male,105,50,0,20,0,0,0
35250335,female,80,35,0,0,0,0,0
35250335,male,50,35,0,15,0,0,0
35250336,female,55,50,10,25,0,10,0
35250336,male,30,45,0,15,0,0,0
35250337,female,135,95,10,35,0,0,0
35250337,male,80,55,10,25,0,15,0
35250338,female,105,75,10,10,0,10,0
35250338,male,105,55,0,15,0,0,0
35250339,female,60,60,15,25,0,10,0
35250339,male,60,70,20,10,0,0,0
35250340,female,60,30,0,15,0,0,0
35250340,male,60,25,0,10,0,0,0
35250341,female,105,65,0,0,0,0,0
35250341,male,95,20,0,30,0,0,0
35250342,female,60,55,0,15,0,0,0
35250342,male,65,40,0,10,0,0,0
35250343,female,75,60,0,25,0,10,0
35250343,male,55,45,0,30,0,0,0
35250344,female,80,60,0,10,10,10,0
35250344,male,60,55,10,15,0,0,0
35250345,female,25,70,0,35,0,0,0
35250345,male,50,45,10,30,0,0,0
35250346,female,65,55,10,20,0,10,0
35250346,male,60,35,0,10,0,0,0
35250347,female,60,45,10,15,0,0,0
35250347,male,50,55,0,0,0,10,0
35250348,female,75,70,0,65,0,20,0
35250348,male,100,45,0,65,0,10,0
35250349,female,45,65,10,25,0,10,0
35250349,male,45,60,0,20,0,0,0
35250350,female,105,55,0,35,0,0,0
35250350,male,100,60,0,25,0,10,0
35250351,female,90,55,0,0,0,10,0
35250351,male,35,30,0,0,0,0,0
35250352,female,80,105,0,10,0,0,0
35250352,male,65,55,0,10,0,10,0
35250353,female,60,80,0,20,0,10,0
35250353,male,80,40,0,10,0,0,0
35250354,female,70,65,0,50,0,15,10
35250354,male,25,70,0,25,0,20,0
35250355,female,60,60,0,30,0,10,10
35250355,male,65,75,0,10,0,0,0
35250356,female,95,70,0,35,0,0,0
35250356,male,75,60,0,20,0,10,0
35250357,female,65,75,0,40,0,10,0
35250357,male,85,25,0,40,0,10,0
35250358,female,75,80,10,35,0,0,0
35250358,male,95,50,10,15,0,0,0
35250359,female,45,65,10,30,0,0,0
35250359,male,60,40,0,15,0,0,0
35250360,female,95,50,0,30,0,0,0
35250360,male,50,45,0,10,0,10,0
35250361,female,50,50,10,35,0,0,0
35250361,male,50,40,0,20,0,10,0
35250362,female,60,75,0,15,0,10,0
35250362,male,60,75,0,10,0,0,0
35250363,female,35,40,0,20,0,15,0
35250363,male,60,50,0,15,0,0,0
35250364,female,55,25,10,20,0,0,0
35250364,male,35,25,10,10,0,0,0
35250365,female,200,140,0,30,0,0,0
35250365,male,135,85,0,25,0,0,0
35250366,female,70,65,15,40,0,0,0
35250366,male,75,60,20,15,0,0,10
35250367,female,75,60,0,20,0,0,0
35250367,male,55,65,0,10,0,0,0
35250368,female,95,70,0,35,0,10,0
35250368,male,100,25,0,20,10,0,0
35250369,female,85,50,0,10,0,0,0
35250369,male,75,35,0,0,0,0,0
35250370,female,45,60,15,15,0,0,0
35250370,male,65,25,10,20,0,0,10
35250371,female,80,60,0,35,0,0,0
35250371,male,75,35,0,10,0,10,0
35250372,female,60,70,0,20,0,10,0
35250372,male,45,55,0,10,0,0,0
35250373,female,45,20,0,20,0,10,0
35250373,male,35,25,10,10,0,0,10
35250374,female,85,45,0,45,0,0,0
35250374,male,85,55,10,20,0,0,0
35250375,female,80,80,0,25,0,0,0
35250375,male,85,55,0,20,0,0,0
35250376,female,90,70,15,10,0,0,0
35250376,male,65,45,0,20,0,0,0
35250377,female,45,95,10,20,0,15,0
35250377,male,55,85,0,35,0,0,0
35250378,female,90,70,10,15,0,10,0
35250378,male,65,40,10,30,0,10,0
35250379,female,65,60,10,20,0,10,0
35250379,male,35,15,0,10,0,0,0
35250380,female,40,50,10,40,10,10,0
35250380,male,45,50,0,45,10,10,0
35250381,female,70,75,10,25,0,15,0
35250381,male,65,30,0,30,0,0,0
35250382,female,75,70,0,40,0,0,0
35250382,male,70,70,0,40,0,10,0
35250383,female,100,50,0,15,0,10,0
35250383,male,100,75,0,10,0,15,0
35250384,female,35,60,10,15,0,10,0
35250384,male,145,40,0,15,0,20,0
35250385,female,80,35,10,45,0,10,0
35250385,male,50,40,0,40,10,0,0
35250387,female,40,25,0,35,0,35,10
35250387,male,20,25,10,45,0,30,15
35250388,female,35,50,0,70,0,40,10
35250388,male,25,30,0,55,10,25,10
35250389,female,15,20,0,65,10,30,15
35250389,male,20,30,0,45,15,25,0
35250390,female,35,45,0,90,0,25,0
35250390,male,45,50,0,20,0,15,10
35250391,female,40,55,0,50,0,30,10
35250391,male,40,65,10,50,10,30,10
35250392,female,30,40,0,90,0,35,25
35250392,male,40,15,0,50,0,35,10
35250393,female,60,55,0,50,0,20,15
35250393,male,45,40,10,60,10,0,10
35250394,female,75,105,0,80,0,10,0
35250394,male,150,45,15,45,0,25,15
35250395,female,85,70,10,50,0,20,0
35250395,male,125,60,0,25,10,15,10
35250396,female,75,70,15,40,0,20,0
35250396,male,90,35,10,45,0,25,0
35250397,female,55,95,10,35,15,10,0
35250397,male,55,65,10,45,0,15,0
35250398,female,25,10,0,10,0,0,0
35250398,male,65,20,0,15,0,0,0
35250399,female,140,50,10,15,0,0,0
35250399,male,135,75,10,30,0,10,10
35250400,female,75,75,10,60,0,35,15
35250400,male,50,45,0,65,0,15,15
35250401,female,55,60,10,90,0,15,0
35250401,male,80,40,0,70,0,20,15
35250402,female,45,35,0,55,0,20,0
35250402,male,40,45,10,60,0,15,10
35250403,female,60,70,0,75,0,25,15
35250403,male,75,70,0,60,0,20,25
