,geo_code,Secondary (high) school diploma or equivalency certificate,"College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,Bachelor's degree,"Degree in medicine, dentistry, veterinary medicine or optometry",Master's degree,Earned doctorate
1176,35250409,50,25,0,0,0,10,0
1178,35250410,35,60,15,15,0,0,0
1180,35250411,55,75,15,15,0,10,0
1182,35250412,65,40,10,10,0,10,10
1184,35250413,65,25,10,10,0,30,0
1186,35250416,45,35,0,0,0,10,10
1188,35250417,25,75,0,0,0,0,10
1190,35250418,50,45,10,10,0,10,10
1192,35250419,35,35,15,15,0,10,10
1194,35250420,45,65,15,15,25,65,15
1196,35250421,65,65,0,0,0,15,0
1198,35250422,55,65,25,25,0,10,0
1200,35250423,90,80,15,15,0,15,0
1202,35250424,70,55,10,10,0,20,0
1204,35250425,100,105,20,20,25,35,0
1206,35250426,40,25,10,10,0,35,10
1208,35250427,20,35,0,0,0,25,0
1210,35250428,70,65,0,0,0,15,0
1212,35250429,25,40,0,0,0,0,0
1214,35250430,70,45,0,0,0,20,10
1216,35250431,15,65,10,10,0,25,0
1218,35250434,155,115,0,0,25,30,0
1220,35250435,35,30,15,15,0,0,0
1222,35250436,75,40,20,20,0,0,0
1224,35250437,40,50,0,0,0,20,0
1226,35250438,45,20,10,10,0,0,0
1228,35250439,95,65,0,0,0,15,0
1230,35250440,50,95,0,0,10,10,0
1232,35250441,45,85,0,0,0,0,0
1234,35250442,80,75,0,0,0,10,10
1236,35250443,55,70,0,0,0,0,0
1238,35250444,50,75,0,0,0,10,0
1240,35250445,45,90,0,0,0,0,0
1242,35250446,55,65,0,0,0,15,10
1244,35250447,25,35,0,0,0,0,0
1246,35250448,95,80,15,15,0,15,0
1248,35250449,35,50,0,0,0,15,0
1250,35250450,55,50,0,0,10,10,15
1252,35250451,20,30,0,0,0,0,0
1254,35250452,40,25,0,0,10,10,0
1256,35250453,40,50,0,0,0,10,0
1258,35250454,65,115,0,0,0,10,0
1260,35250455,50,45,10,10,0,15,0
1262,35250456,65,55,10,10,0,10,0
1264,35250457,0,0,0,0,0,0,0
1266,35250458,40,55,0,0,0,0,0
1268,35250459,65,80,10,10,0,0,0
1270,35250460,40,25,0,0,0,0,0
1272,35250461,60,55,0,0,0,0,0
1274,35250462,65,35,10,10,0,0,0
1276,35250463,25,45,0,0,0,10,0
1278,35250464,60,10,0,0,0,0,0
1280,35250465,70,45,10,10,0,10,0
1282,35250466,55,15,10,10,0,0,10
1284,35250467,140,25,0,0,0,0,0
1286,35250468,40,25,0,0,0,10,0
1288,35250471,30,35,0,0,0,0,0
1290,35250472,55,50,0,0,0,0,10
1292,35250473,35,35,0,0,0,10,0
1294,35250474,70,35,0,0,0,10,0
1296,35250475,30,45,10,10,0,0,0
1298,35250476,55,25,10,10,0,10,0
1300,35250477,50,55,0,0,0,0,0
1302,35250478,30,40,0,0,0,0,0
1304,35250479,40,50,0,0,0,0,0
1306,35250480,75,45,0,0,10,10,0
1308,35250481,45,10,0,0,0,0,0
1310,35250482,65,25,0,0,0,0,0
1312,35250483,45,40,0,0,0,0,0
1314,35250484,45,25,0,0,0,0,0
1316,35250485,55,40,0,0,0,0,0
1318,35250486,115,50,10,10,0,10,0
1320,35250487,25,45,0,0,0,0,0
1322,35250488,55,55,0,0,0,0,0
1324,35250489,30,15,0,0,10,15,0
1326,35250490,50,35,0,0,0,20,10
1328,35250491,35,45,0,0,0,0,0
1330,35250492,50,25,0,0,0,10,0
1332,35250493,35,20,10,10,0,10,0
1334,35250494,40,50,0,0,0,10,0
1336,35250495,35,45,0,0,0,10,0
1338,35250496,35,15,10,10,10,0,0
1340,35250497,55,40,0,0,0,25,10
1342,35250498,65,45,0,0,0,10,10
1344,35250499,35,25,0,0,0,15,0
1346,35250501,30,30,0,0,0,35,25
1348,35250502,45,20,0,0,0,35,10
1350,35250503,50,35,0,0,0,25,10
1352,35250504,60,50,0,0,10,20,10
1354,35250506,30,70,0,0,10,20,15
1356,35250507,50,50,0,0,0,30,10
1358,35250508,40,35,0,0,10,45,15
1360,35250509,65,40,10,10,10,20,25
1362,35250510,35,25,0,0,10,35,10
1364,35250511,70,50,0,0,0,40,0
1366,35250512,35,65,0,0,0,25,0
1368,35250513,45,40,0,0,0,30,0
1370,35250514,25,65,15,15,25,55,20
1372,35250515,15,50,0,0,0,15,10
1374,35250516,100,85,10,10,10,15,10
1376,35250517,30,50,10,10,0,10,0
1378,35250518,25,40,0,0,0,15,0
1380,35250519,85,65,10,10,10,10,0
1382,35250520,60,85,0,0,0,10,0
1384,35250521,65,40,0,0,0,15,0
1386,35250522,20,15,0,0,0,0,0
1388,35250523,55,40,0,0,0,15,0
1390,35250524,60,40,0,0,0,0,0
1392,35250525,60,45,0,0,0,0,0
1394,35250526,195,145,10,10,0,20,0
1396,35250527,40,55,0,0,10,10,0
1398,35250528,40,50,0,0,0,0,0
1400,35250529,65,50,0,0,10,0,0
1402,35250530,55,60,0,0,0,10,0
1404,35250531,75,55,0,0,0,0,0
1406,35250532,70,45,10,10,0,0,0
1408,35250533,140,80,10,10,0,0,0
1410,35250534,75,70,10,10,0,10,0
1412,35250535,60,80,0,0,0,0,10
1414,35250536,65,50,0,0,0,0,0
1416,35250537,130,50,10,10,0,0,0
1418,35250538,80,75,0,0,0,0,0
1420,35250539,65,100,40,40,0,0,10
1422,35250540,80,75,10,10,0,0,0
1424,35250541,60,45,10,10,0,10,0
1426,35250542,50,65,10,10,0,0,0
1428,35250545,45,40,10,10,0,0,0
1430,35250546,55,60,0,0,0,0,0
1432,35250547,55,50,0,0,0,10,0
1434,35250548,90,70,10,10,0,0,0
1436,35250549,75,70,0,0,0,0,0
1438,35250550,60,65,10,10,0,0,0
1440,35250551,70,65,0,0,0,0,0
1442,35250552,70,35,10,10,0,10,0
1444,35250553,70,70,0,0,0,10,0
1446,35250554,80,65,0,0,0,0,0
1448,35250555,85,75,0,0,0,0,0
1450,35250556,60,75,15,15,0,10,0
1452,35250557,70,105,10,10,0,10,0
1454,35250558,40,70,0,0,0,10,0
1456,35250559,70,45,0,0,0,0,0
1458,35250560,85,75,0,0,0,0,0
1460,35250561,55,30,15,15,0,10,0
1462,35250562,30,85,0,0,0,10,0
1464,35250563,90,95,0,0,0,0,0
1466,35250564,70,65,0,0,0,0,0
1468,35250565,85,125,0,0,0,0,0
1470,35250566,75,55,0,0,0,0,0
1472,35250567,80,50,0,0,0,10,0
1474,35250568,110,80,10,10,0,0,0
1476,35250569,60,40,10,10,0,0,0
1478,35250570,70,65,0,0,0,10,0
1480,35250571,75,45,0,0,0,0,0
1482,35250572,55,55,0,0,0,0,10
1484,35250573,115,140,10,10,0,30,0
1486,35250574,40,40,0,0,0,15,0
1488,35250578,110,115,0,0,0,0,0
1490,35250579,60,45,10,10,10,0,0
1492,35250580,25,35,10,10,0,10,0
1494,35250581,90,105,10,10,0,10,0
1496,35250582,65,80,10,10,0,0,10
1498,35250583,80,80,0,0,10,0,0
1500,35250585,90,60,10,10,0,10,0
1502,35250586,140,135,10,10,0,30,0
1504,35250587,50,30,0,0,0,0,0
1506,35250588,65,45,15,15,0,15,0
1508,35250589,75,95,0,0,0,0,0
1510,35250590,65,35,0,0,0,15,0
1512,35250591,95,95,0,0,0,0,0
1514,35250592,75,80,0,0,0,0,0
1516,35250593,45,55,0,0,10,0,0
1518,35250594,70,75,0,0,0,0,0
1520,35250595,85,45,10,10,0,15,0
1522,35250596,100,75,0,0,0,10,0
1524,35250597,50,65,10,10,0,0,0
1526,35250598,55,65,0,0,0,10,0
1528,35250599,85,65,0,0,0,0,0
1530,35250600,35,35,0,0,0,10,0
1532,35250601,95,50,10,10,0,0,0
1534,35250602,95,30,0,0,0,0,0
1536,35250603,90,85,0,0,0,0,0
1538,35250604,55,55,0,0,0,0,0
1540,35250605,70,40,0,0,0,0,0
1542,35250606,65,45,10,10,0,10,0
1544,35250607,95,65,0,0,0,0,0
1546,35250608,50,45,10,10,0,0,0
1548,35250609,80,70,0,0,0,10,0
1550,35250610,90,60,0,0,0,15,0
1552,35250611,60,45,10,10,0,10,0
1554,35250612,75,95,0,0,10,0,0
1556,35250613,150,125,15,15,0,0,0
1558,35250614,30,20,0,0,0,0,0
1560,35250615,55,60,10,10,0,0,0
1562,35250616,40,10,0,0,0,0,0
1564,35250617,80,65,0,0,0,0,0
1566,35250618,35,40,0,0,0,0,0
1568,35250619,75,45,0,0,0,10,0
1570,35250620,25,40,0,0,0,10,0
1572,35250621,105,130,10,10,0,15,0
1574,35250622,55,35,0,0,0,0,0
1576,35250623,40,75,0,0,0,10,0
1578,35250624,60,50,0,0,0,0,0
1580,35250625,65,40,0,0,0,0,0
1582,35250626,65,65,10,10,10,0,0
1584,35250627,75,60,0,0,0,0,0
1586,35250628,65,55,0,0,0,0,0
1588,35250629,150,90,15,15,0,0,0
1590,35250630,80,80,0,0,0,10,0
1592,35250631,65,60,0,0,10,0,0
1594,35250632,105,70,0,0,0,10,0
1596,35250633,30,35,0,0,0,10,0
1598,35250634,90,90,0,0,0,0,0
1600,35250635,40,50,0,0,0,0,0
1602,35250636,100,110,10,10,0,0,0
1604,35250637,150,150,10,10,0,15,0
1606,35250638,35,45,10,10,0,15,0
1608,35250639,95,90,10,10,0,0,0
1610,35250640,90,60,10,10,0,0,0
1612,35250641,65,55,0,0,0,0,0
1614,35250642,90,65,25,25,0,15,0
1616,35250643,45,50,0,0,0,0,0
1618,35250644,45,25,0,0,0,10,0
1620,35250645,70,75,10,10,0,0,0
1622,35250646,105,115,10,10,0,0,0
1624,35250647,110,105,0,0,0,20,0
1626,35250648,125,120,10,10,0,10,0
1628,35250649,90,110,0,0,0,10,0
1630,35250650,55,65,10,10,0,10,0
1632,35250651,20,50,0,0,0,15,0
1634,35250652,55,90,10,10,0,10,0
1636,35250655,125,190,10,10,0,15,0
1638,35250656,95,50,0,0,0,0,0
1640,35250657,55,90,15,15,0,10,0
1642,35250658,20,55,0,0,0,10,0
1644,35250659,90,95,10,10,0,0,0
1646,35250661,130,130,10,10,0,30,0
1648,35250662,130,235,20,20,0,35,10
1650,35250663,60,85,10,10,0,15,10
1652,35250664,45,70,10,10,0,10,0
1654,35250665,50,75,0,0,0,25,0
1656,35250666,70,45,0,0,0,0,0
1658,35250667,40,25,0,0,0,0,0
1660,35250668,70,25,0,0,0,10,10
1662,35250669,65,10,10,10,0,15,10
1664,35250670,15,15,0,0,0,15,10
1666,35250671,45,20,0,0,0,10,10
1668,35250672,10,15,10,10,0,0,15
1670,35250675,60,15,0,0,0,50,0
1672,35250676,25,10,0,0,15,20,15
1674,35250677,15,15,0,0,0,40,15
1676,35250678,45,25,0,0,20,25,15
1678,35250679,105,20,0,0,0,50,0
1680,35250680,55,45,0,0,0,25,15
1682,35250681,155,70,15,15,0,10,0
1684,35250692,70,25,0,0,0,0,0
1686,35250693,15,25,10,10,0,0,0
1688,35250694,45,35,0,0,0,0,0
1690,35250695,25,10,0,0,0,0,0
1692,35250696,60,10,0,0,0,0,0
1694,35250700,65,40,0,0,0,10,0
1696,35250701,65,85,0,0,0,0,0
1698,35250702,65,85,0,0,10,0,0
1700,35250703,60,40,0,0,0,0,0
1702,35250704,55,70,0,0,0,0,0
1704,35250705,60,65,10,10,0,10,0
1706,35250706,60,55,0,0,0,0,0
1708,35250707,70,40,0,0,0,10,0
1710,35250708,75,65,10,10,0,0,0
1712,35250709,70,30,10,10,0,10,0
1714,35250710,70,40,10,10,0,0,0
1716,35250711,70,20,0,0,0,10,0
1718,35250712,40,45,0,0,0,10,0
1720,35250713,40,35,0,0,0,10,0
1722,35250714,40,50,10,10,0,10,0
1724,35250715,60,55,10,10,0,0,0
1726,35250716,55,45,10,10,0,0,10
1728,35250717,95,35,10,10,0,10,0
1730,35250718,35,70,0,0,0,0,0
1732,35250719,60,30,0,0,0,10,0
1734,35250720,70,65,0,0,0,0,0
1736,35250721,80,55,0,0,0,0,0
1738,35250724,45,45,0,0,0,10,0
1740,35250725,40,40,0,0,0,10,10
1742,35250726,50,75,0,0,0,10,0
1744,35250727,15,10,0,0,0,0,0
1746,35250728,35,50,10,10,0,10,0
1748,35250729,60,50,0,0,0,0,0
1750,35250730,90,45,0,0,0,0,0
1752,35250731,90,85,0,0,0,0,0
1754,35250732,40,50,0,0,0,0,0
1756,35250733,70,90,10,10,0,10,0
1758,35250734,105,70,0,0,0,0,0
1760,35250735,30,65,10,10,0,20,0
1762,35250736,70,75,0,0,0,10,0
1764,35250737,70,60,0,0,0,10,0
1766,35250738,70,50,0,0,0,15,0
1768,35250739,85,70,10,10,0,0,0
1770,35250740,100,60,10,10,0,0,0
1772,35250741,75,65,0,0,0,0,0
1774,35250742,85,60,10,10,0,10,0
1776,35250743,60,50,10,10,0,10,0
1778,35250744,95,100,0,0,0,0,0
1780,35250745,40,60,0,0,0,0,0
1782,35250746,55,50,0,0,0,0,0
1784,35250747,65,45,0,0,0,10,0
1786,35250748,60,40,10,10,0,0,0
1788,35250749,50,55,10,10,0,0,0
1790,35250750,70,55,0,0,0,0,0
1792,35250753,100,25,0,0,0,0,0
1794,35250754,40,55,0,0,0,0,0
1796,35250755,60,35,0,0,0,0,0
1798,35250756,110,55,0,0,0,0,0
1800,35250757,50,50,0,0,0,0,0
1802,35250758,55,55,10,10,0,0,0
1804,35250759,55,40,10,10,0,0,0
1806,35250760,60,60,10,10,0,0,0
1808,35250761,60,65,0,0,0,0,0
1810,35250762,95,40,0,0,0,0,0
1812,35250763,125,40,10,10,0,0,0
1814,35250764,80,55,0,0,0,0,0
1816,35250765,80,40,0,0,0,0,0
1818,35250766,70,60,0,0,0,0,0
1820,35250767,50,30,0,0,0,0,0
1822,35250768,45,45,0,0,0,0,0
1824,35250769,85,35,0,0,0,0,0
1826,35250770,55,70,0,0,0,0,0
1828,35250771,80,60,0,0,0,0,0
1830,35250772,45,45,0,0,0,0,0
1832,35250773,105,45,0,0,0,0,0
1834,35250774,55,40,0,0,0,10,0
1836,35250775,20,55,0,0,0,0,0
1838,35250776,35,40,0,0,0,0,0
1840,35250777,50,55,0,0,0,0,0
1842,35250778,60,60,0,0,0,0,0
1844,35250779,50,25,0,0,0,0,0
1846,35250780,50,50,0,0,0,0,0
1848,35250781,70,45,10,10,0,0,0
1850,35250782,30,55,0,0,0,10,0
1852,35250783,90,55,0,0,0,10,0
1854,35250784,90,40,10,10,0,0,0
1856,35250785,80,85,0,0,0,10,0
1858,35250786,60,60,10,10,0,0,0
1860,35250787,70,110,10,10,0,0,0
1862,35250788,75,60,0,0,0,10,10
1864,35250789,75,70,0,0,10,10,0
1866,35250790,85,70,0,0,0,0,0
1868,35250791,45,60,0,0,10,0,0
1870,35250792,75,50,0,0,0,10,0
1872,35250793,70,40,0,0,0,0,0
1874,35250798,30,10,0,0,0,0,0
1876,35250799,60,40,0,0,0,10,0
1878,35250800,50,60,0,0,0,0,0
1880,35250801,70,135,15,15,0,35,10
1882,35250802,25,35,0,0,0,20,0
1884,35250803,50,35,0,0,0,10,0
1886,35250804,285,255,20,20,10,90,0
1888,35250805,95,140,20,20,0,15,0
1890,35250806,35,55,10,10,10,15,0
1892,35250807,110,80,20,20,0,20,0
1894,35250810,130,85,0,0,0,0,0
1896,35250812,55,40,10,10,0,0,0
1898,35250813,60,95,10,10,0,10,0
1900,35250814,50,85,0,0,0,0,0
1902,35250815,205,165,15,15,0,15,0
1904,35250826,25,95,10,10,10,50,10
1906,35250827,40,55,0,0,10,10,0
1908,35250828,20,15,0,0,10,15,10
1910,35250829,55,55,10,10,10,20,0
1912,35250830,80,60,10,10,0,25,10
1914,35250831,170,150,35,35,10,10,10
1916,35250832,55,45,0,0,0,0,0
1918,35250833,35,45,0,0,0,20,0
1920,35250834,45,35,10,10,0,10,10
1922,35250835,40,50,0,0,0,25,0
1924,35250836,90,20,0,0,0,20,0
1926,35250843,140,145,10,10,0,15,10
1928,35250845,230,135,10,10,10,0,0
1930,35250846,185,80,10,10,0,0,0
1932,35250847,100,40,0,0,0,10,0
1934,35250848,75,50,15,15,10,65,15
1936,35250849,110,140,10,10,0,10,0
1938,35250850,130,150,0,0,0,0,0
1940,35250851,335,165,15,15,15,25,10
1942,35250852,285,205,35,35,10,10,0
1944,35250853,85,60,0,0,0,20,15
1946,35250854,135,95,10,10,0,30,0
1948,35250855,85,50,0,0,20,50,15
1950,35250857,85,70,0,0,0,0,0
1952,35250859,120,75,0,0,0,10,0
1954,35250860,225,210,15,15,10,15,10
1956,35250861,65,65,0,0,0,0,0
1958,35250862,70,55,10,10,0,20,0
1960,35250863,65,25,0,0,0,0,0
1962,35250864,75,35,15,15,0,10,0
1964,35250865,65,40,0,0,0,15,0
1966,35250866,70,80,0,0,0,10,0
1968,35250867,65,65,10,10,0,0,0
1970,35250868,55,35,0,0,10,15,0
1972,35250869,65,45,0,0,0,0,0
1974,35250870,75,90,10,10,10,10,0
1976,35250871,70,70,10,10,10,0,10
1978,35250872,100,65,10,10,0,25,0
1980,35250873,95,60,15,15,0,10,0
1982,35250874,95,50,15,15,0,0,0
1984,35250875,80,105,0,0,0,15,0
1986,35250876,35,50,0,0,15,10,10
1988,35250877,70,55,0,0,0,0,10
1990,35250878,60,60,10,10,0,10,0
1992,35250879,95,60,10,10,0,15,0
1994,35250880,90,85,0,0,0,0,0
1996,35250881,60,105,10,10,10,0,0
1998,35250882,120,85,10,10,0,15,0
2000,35250883,70,45,0,0,0,20,0
2002,35250884,50,65,0,0,0,15,0
2004,35250885,65,55,0,0,0,15,0
2006,35250886,45,60,10,10,0,20,0
2008,35250887,75,65,0,0,10,0,0
2010,35250888,70,65,0,0,10,10,0
2012,35250889,40,90,10,10,0,15,0
2014,35250890,55,50,10,10,0,10,0
2016,35250891,50,55,0,0,0,10,0
2018,35250892,260,295,25,25,10,60,10
2020,35250893,65,80,0,0,0,0,0
2022,35250894,55,90,0,0,10,0,0
2024,35250895,70,80,15,15,0,10,10
2026,35250896,45,75,0,0,0,0,0
2028,35250897,70,70,10,10,10,10,0
2030,35250898,75,40,10,10,0,10,10
2032,35250899,55,35,10,10,0,0,0
2034,35250900,40,20,0,0,10,10,0
2036,35250901,40,70,10,10,0,10,10
2038,35250902,40,100,0,0,0,15,0
2040,35250903,90,80,0,0,0,10,0
2042,35250904,55,100,10,10,0,10,0
2044,35250905,70,65,15,15,0,0,0
2046,35250906,50,35,0,0,0,20,10
2048,35250907,40,45,0,0,0,0,0
2050,35250908,50,30,25,25,0,0,0
2052,35250909,155,140,25,25,0,60,10
2054,35250910,140,135,30,30,10,25,15
2056,35250911,60,45,10,10,0,20,0
2058,35250912,80,50,15,15,10,25,0
2060,35250913,70,80,20,20,15,20,0
2062,35250914,50,40,0,0,0,0,0
2064,35250918,300,305,55,55,0,15,0
2066,35250919,100,65,0,0,0,0,0
2068,35250920,165,175,0,0,0,15,0
2070,35250921,120,65,0,0,0,0,0
2072,35250922,90,90,0,0,0,10,0
2074,35250923,70,70,10,10,0,10,0
2076,35250924,35,70,0,0,0,10,0
2078,35250925,95,85,10,10,0,0,0
2080,35250928,95,25,0,0,0,0,0
2082,35250929,70,80,10,10,0,0,0
2084,35250930,80,65,15,15,0,10,0
2086,35250931,80,75,20,20,10,0,0
2088,35250932,65,75,0,0,0,0,0
2090,35250933,55,70,10,10,0,0,0
2092,35250934,45,50,0,0,0,10,10
2094,35250935,195,130,10,10,0,10,0
2096,35250936,60,55,10,10,0,0,0
2098,35250937,115,130,10,10,0,10,15
2100,35250938,75,100,10,10,0,20,10
2102,35250939,55,70,10,10,0,10,0
2104,35250940,40,60,0,0,0,10,0
2106,35250941,75,80,0,0,0,0,10
2108,35250942,70,55,0,0,0,0,0
2110,35250943,65,115,15,15,10,35,0
2112,35250944,60,55,0,0,0,10,0
2114,35250945,60,80,10,10,0,15,0
2116,35250946,50,65,0,0,10,10,0
2118,35250947,65,115,10,10,10,15,0
2120,35250948,155,125,10,10,0,50,0
2122,35250949,45,55,0,0,0,10,0
2124,35250950,50,40,0,0,0,10,0
2126,35250951,45,80,10,10,0,30,0
2128,35250952,150,230,15,15,0,50,10
2130,35250953,65,25,15,15,0,0,0
2132,35250954,45,40,0,0,0,10,0
2134,35250955,20,35,0,0,10,0,0
2136,35250956,115,50,10,10,0,0,0
2138,35250957,65,55,0,0,0,0,0
2140,35250958,40,65,0,0,0,0,0
2142,35250959,50,50,0,0,0,20,0
2144,35250960,40,45,0,0,0,0,0
2146,35250961,70,55,10,10,0,0,0
2148,35250962,55,70,0,0,0,20,0
2150,35250963,345,330,45,45,10,100,20
2152,35250964,95,70,10,10,0,20,0
2154,35250965,35,35,0,0,0,15,0
2156,35250966,0,0,0,0,0,0,0
2158,35250967,35,40,10,10,0,20,0
2160,35250968,150,25,0,0,0,10,0
2162,35250969,105,60,0,0,0,10,0
2164,35250970,70,30,10,10,0,0,10
2166,35250971,55,40,0,0,0,0,0
2168,35250972,50,60,0,0,0,10,0
2170,35250973,45,30,0,0,0,0,0
2172,35250974,45,50,10,10,0,0,0
2174,35250975,55,35,10,10,0,10,0
2176,35250976,40,40,0,0,0,0,0
2178,35250978,260,300,20,20,10,35,0
2180,35250980,35,45,10,10,0,0,0
2182,35250981,265,185,20,20,0,40,10
2184,35250982,30,60,0,0,0,10,0
2186,35250983,50,75,0,0,0,0,0
2188,35250985,130,120,10,10,10,20,0
2190,35250986,140,140,25,25,10,35,15
2192,35250987,70,100,0,0,0,15,0
2194,35250988,85,115,20,20,0,20,10
2196,35250989,100,155,10,10,0,30,0
2198,35250990,60,80,0,0,0,10,0
2200,35250991,85,65,0,0,10,10,0
2202,35250992,50,45,10,10,0,10,0
2204,35250993,30,10,0,0,0,0,0
2206,35250994,75,120,0,0,15,60,0
2208,35250995,310,215,25,25,0,15,0
2210,35250996,100,135,15,15,0,35,10
2212,35250997,185,145,0,0,0,15,0
2214,35250998,55,35,0,0,0,20,10
2216,35250999,110,105,10,10,15,50,10
2218,35251000,25,40,10,10,0,0,0
2220,35251001,30,65,10,10,0,10,0
2222,35251002,60,65,20,20,0,30,0
2224,35251003,35,30,0,0,0,10,0
2226,35251004,80,55,10,10,0,10,0
2228,35251005,90,70,15,15,10,45,0
2230,35251006,75,95,10,10,0,30,10
2232,35251007,55,100,0,0,0,30,10
2234,35251008,55,65,0,0,0,15,10
2236,35251009,110,80,20,20,10,20,0
2238,35251010,30,55,10,10,10,15,10
2240,35251011,55,80,0,0,10,10,0
2242,35251012,70,65,0,0,0,0,0
2244,35251013,80,105,15,15,0,25,0
2246,35251014,35,35,0,0,0,15,0
2248,35251015,110,55,10,10,0,10,0
2250,35251016,65,65,0,0,0,0,0
2252,35251017,60,55,0,0,0,10,0
2254,35251018,90,85,0,0,0,0,0
2256,35251019,65,25,0,0,0,15,10
2258,35251020,100,90,10,10,0,10,0
2260,35251021,60,115,0,0,0,10,10
2262,35251022,180,170,15,15,0,75,0
2264,35251023,70,90,10,10,10,25,0
2266,35251024,80,110,0,0,0,35,0
2268,35251025,80,70,0,0,0,0,0
2270,35251026,75,95,0,0,0,0,0
2272,35260307,70,105,15,15,0,30,0
2274,35260309,150,205,0,0,0,25,0
2276,35260310,65,55,0,0,0,0,0
2278,35260311,125,115,0,0,10,30,0
2280,35260313,60,80,15,15,0,0,0
2282,35260314,95,45,0,0,0,10,0
2284,35260315,70,35,0,0,0,0,0
2286,35260316,55,60,0,0,0,0,0
2288,35260317,80,65,0,0,0,0,0
2290,35260318,85,65,0,0,0,0,0
2292,35260319,60,55,0,0,0,0,0
2294,35260320,75,70,0,0,0,0,0
2296,35260321,120,45,0,0,0,0,0
2298,35260322,60,75,0,0,0,10,0
2300,35260323,75,40,10,10,0,10,0
2302,35260324,90,65,10,10,10,20,0
2304,35260325,55,55,0,0,0,10,0
2306,35260326,65,90,10,10,10,10,0
2308,35260327,40,10,10,10,0,25,0
2310,35260328,35,35,0,0,0,20,10
2312,35260330,60,80,0,0,0,0,0
2314,35260332,55,55,0,0,0,15,0
2316,35260333,110,75,0,0,0,10,0
2318,35260334,60,50,10,10,0,10,10
2320,35260335,125,175,15,15,0,50,0
2322,35260336,155,180,20,20,10,25,0
2324,35260337,50,60,0,0,0,0,0
2326,35260338,190,195,15,15,10,60,10
2328,35260339,85,65,0,0,0,0,0
2330,35260340,115,105,10,10,0,30,0
2332,35260341,75,60,0,0,0,10,0
2334,35260342,55,85,0,0,0,10,0
2336,35260734,160,165,15,15,0,20,10
2338,35260828,90,40,0,0,0,15,0
2340,35260829,80,45,0,0,0,10,0
2342,35260830,120,110,0,0,10,20,0
2344,35260831,75,40,10,10,0,0,0
2346,35260832,60,95,10,10,0,25,10
2348,35260833,65,70,0,0,0,30,0
