,geo_code,Income (F),Government Transfer (F)
0,35240317,42176,6752
1,35240318,27552,5264
2,35240319,35072,2208
3,35240320,47744,4880
4,35240321,38272,3240
5,35240322,33664,2904
6,35240323,31488,2152
7,35240324,29632,4208
8,35240325,32960,5984
9,35240326,31200,4848
10,35240327,35200,4864
11,35240328,40320,9952
12,35240329,32896,3928
13,35240330,25760,7240
14,35240331,36864,4480
15,35240332,34176,7701
16,35240333,34987,7232
17,35240334,28864,7504
18,35240335,32576,7672
19,35240336,32576,4656
20,35240337,31936,3584
21,35240338,30784,4592
22,35240339,27008,13472
23,35240340,30592,5328
24,35240341,29760,4688
25,35240342,27968,11232
26,35240343,33920,5920
27,35240344,28960,5664
28,35240345,32064,5664
29,35240346,37760,5200
30,35240347,34816,3160
31,35240348,35968,2680
32,35240349,30144,3272
33,35240350,31168,3512
34,35240351,33579,4128
35,35240352,31040,3064
36,35240353,29376,6352
37,35240354,39637,2696
38,35240355,29120,4160
39,35240356,29760,1564
40,35240357,35840,1672
41,35240358,46400,1568
42,35240359,35328,1548
43,35240363,38272,3340
44,35240364,43264,3256
45,35240365,35328,2652
46,35240366,36224,3736
47,35240367,34432,2744
48,35240368,38272,4112
49,35240369,34688,4912
50,35240370,30272,6640
51,35240371,33536,6448
52,35240372,34432,6256
53,35240373,31936,4640
54,35240374,34432,4336
55,35240375,37952,5488
56,35240376,38528,3960
57,35240377,29984,4024
58,35240378,28096,3032
59,35240379,35584,4056
60,35240380,36736,4112
61,35240381,40832,6027
62,35240382,32896,6080
63,35240383,27200,6112
64,35240384,34944,4480
65,35240385,38400,4656
66,35240386,39296,3656
67,35240387,35968,8080
68,35240388,33280,7840
69,35240391,30272,10608
70,35240392,35200,9376
71,35240393,47744,6992
72,35240394,39552,9728
73,35240395,23488,7120
74,35240396,45440,5936
75,35240397,27904,12601
76,35240398,25600,13088
77,35240399,38528,5488
78,35240400,38912,5344
79,35240401,38720,5744
80,35240402,40128,5360
81,35240403,31744,7192
82,35240404,36224,6672
83,35240405,35456,8000
84,35240406,37120,5616
85,35240409,27584,5760
86,35240410,30976,7376
87,35240411,35712,6672
88,35240412,34176,3952
89,35240413,28544,7088
90,35240414,41216,7568
91,35240417,28224,6560
92,35240420,33536,3508
93,35240421,38016,5728
94,35240422,24640,12512
95,35240423,34048,13472
96,35240425,30208,3048
97,35240427,33152,11536
98,35240428,23552,7216
99,35240429,24000,10144
100,35240431,43840,1548
101,35240432,24960,7632
102,35240433,45952,5968
103,35240436,31808,10272
104,35240437,40256,13824
105,35240438,37504,6608
106,35240439,36352,6976
107,35240440,32448,9195
108,35240441,41429,6544
109,35240442,37760,3976
110,35240443,41472,3856
111,35240444,37312,3916
112,35240445,22080,6736
113,35240446,24384,13312
114,35240447,26240,2020
115,35240448,31424,5680
116,35240449,34176,3928
117,35240450,23488,6008
118,35240451,31424,4000
119,35240452,26176,4560
120,35240453,31840,5184
121,35240455,22528,14432
122,35240459,43904,5104
123,35240460,34176,5872
124,35240461,33536,4880
125,35240462,29888,9728
126,35240463,30272,5200
127,35240464,33408,9504
128,35240465,27968,10624
129,35240466,26688,10912
130,35240467,33664,10272
131,35240468,40576,2288
132,35240469,26944,4616
133,35240470,45312,2424
134,35240471,34816,3000
135,35240472,34944,4528
136,35240473,28992,2888
137,35240474,36608,5264
138,35240475,38528,3844
139,35240476,32896,3560
140,35240477,37888,2600
141,35240478,35712,7056
142,35240479,19136,15136
143,35240480,23392,9824
144,35240481,31072,7152
145,35240482,31040,7088
146,35240483,42368,6256
147,35240484,41088,2832
148,35240485,46464,9312
149,35240486,40320,5120
150,35240487,29504,5648
151,35240488,42581,3244
152,35240489,33536,5952
153,35240490,32704,5792
154,35240491,33024,4640
155,35240492,26944,4320
156,35240493,21568,14037
157,35240494,33664,4832
158,35240495,22848,9648
159,35240496,33152,6608
160,35240497,38272,3800
161,35240498,40320,6320
162,35240499,42752,3424
163,35240501,30656,3560
164,35240503,36032,3696
165,35240504,32704,4560
166,35240505,21952,9152
167,35240506,44416,7856
168,35240507,27072,5648
169,35240508,37248,4496
170,35240509,31168,8608
171,35240512,31680,10352
172,35240513,32768,9120
173,35240516,39296,5168
174,35240517,47872,5680
175,35240518,38272,6208
176,35240519,40192,4304
177,35240520,31936,5744
178,35240521,35456,5568
179,35240522,42112,8224
180,35240523,28352,4656
181,35240524,34816,5616
182,35240525,33536,3424
183,35240526,39808,5744
184,35240528,35968,3152
185,35240529,33152,2560
186,35240530,31616,4608
187,35240531,30016,3368
188,35240532,40363,3192
189,35240533,31744,3944
190,35240534,22688,6640
191,35240535,33920,5472
192,35240536,28736,8768
193,35240537,38101,2488
194,35240538,21888,7008
195,35240539,40960,6544
196,35240540,34176,5712
197,35240541,28288,2848
198,35240542,31552,8304
199,35240543,23936,6112
200,35240544,30784,4464
201,35240545,36736,3464
202,35240546,31392,4832
203,35240590,32320,7480
204,35240591,31296,5384
205,35240592,23552,5960
206,35240593,35072,4592
207,35240594,26304,3852
208,35240595,26688,10240
209,35240596,29888,13144
210,35240598,32960,11893
211,35240641,34112,2584
212,35240642,44672,4168
213,35240643,29376,3064
214,35240644,26432,3064
215,35240645,36096,4936
216,35240647,32448,6096
217,35240648,40960,5312
218,35240649,39680,2760
219,35240650,39488,3592
220,35240651,44331,3496
221,35240654,45312,1984
222,35240655,33152,8224
223,35240656,43776,2200
224,35240659,34560,7504
225,35240660,34688,3424
226,35240661,41344,2968
227,35240662,40576,8256
228,35240663,34176,1660
229,35240664,33920,4080
230,35240665,31168,2696
231,35240666,41600,3552
232,35240667,49408,2440
233,35240668,44032,2360
234,35240669,40832,2584
235,35240670,52480,2651
236,35240671,41728,2984
237,35240672,42112,2536
238,35240673,36544,3368
239,35240674,52992,2648
240,35240675,45867,2904
241,35240676,42880,2164
242,35240677,61632,2072
243,35240678,42592,6832
244,35240679,39552,3568
245,35240680,38208,2460
246,35240681,41216,6160
247,35240682,38272,3584
248,35240683,39616,2648
249,35240684,42944,6960
250,35240685,48171,2742
251,35240686,40115,1984
252,35240756,41728,2584
253,35240757,50752,2128
254,35240758,31904,2488
255,35240759,25856,7040
256,35240780,40107,2712
257,35240782,34944,3504
258,35240783,29504,6256
259,35240785,40896,1940
260,35240807,35712,6272
261,35240808,30656,13120
262,35240809,0,0
263,35240898,41984,2568
264,35240903,0,0
265,35240904,36779,4080
266,35250030,31168,4944
267,35250031,35200,5792
268,35250032,31787,4208
269,35250033,45184,4208
270,35250034,32064,4656
271,35250035,31936,7408
272,35250036,40384,5104
273,35250037,33280,6160
274,35250038,33664,11360
275,35250039,25024,11808
276,35250040,20864,11704
277,35250041,24320,9408
278,35250042,0,0
279,35250043,39168,7792
280,35250044,36736,7264
281,35250045,25920,6000
282,35250046,31936,5312
283,35250047,30784,11360
284,35250048,38016,5296
285,35250049,39936,7216
286,35250050,38016,6464
287,35250051,40320,7792
288,35250052,31104,5952
289,35250053,53632,6736
290,35250054,29376,5136
291,35250055,33664,6496
292,35250056,0,0
293,35250059,42432,6128
294,35250060,36864,5552
295,35250061,41472,5424
296,35250062,42880,6832
297,35250064,33856,6128
298,35250065,36032,2696
299,35250066,49024,4816
300,35250067,31040,2928
301,35250070,35712,6376
302,35250073,32192,4208
303,35250074,27136,6280
304,35250075,27392,4240
305,35250077,20160,8080
306,35250078,36736,6088
307,35250079,28480,8608
308,35250080,23360,10848
309,35250081,23488,7152
310,35250082,0,0
311,35250083,17664,9600
312,35250084,21408,6416
313,35250085,26080,5088
314,35250086,33664,6928
315,35250087,26176,6064
316,35250088,29632,8480
317,35250089,29760,12992
318,35250093,33920,9312
319,35250094,27328,6480
320,35250095,29888,8224
321,35250096,25024,3852
322,35250097,22272,5712
323,35250098,0,0
324,35250099,28224,7600
325,35250100,37376,8912
326,35250101,41216,7088
327,35250102,46528,2952
328,35250105,40320,9952
329,35250106,33920,10608
330,35250107,38784,5520
331,35250108,30101,7328
332,35250109,35008,5440
333,35250110,33408,8384
334,35250111,27840,14624
335,35250112,23744,6448
336,35250113,26432,6768
337,35250114,29504,8048
338,35250115,28224,6504
339,35250116,31584,4720
340,35250117,36224,5232
341,35250118,25664,6688
342,35250119,27456,7152
343,35250120,29376,4520
344,35250121,25440,7104
345,35250122,29184,7216
346,35250123,34688,6296
347,35250124,30400,6944
348,35250125,29760,5408
349,35250126,21824,7600
350,35250127,32288,3000
351,35250128,30912,2136
352,35250129,34944,4240
353,35250130,37248,3992
354,35250133,14624,15605
355,35250134,31296,6800
356,35250135,37589,3336
357,35250136,27776,5984
358,35250137,33408,4976
359,35250144,45856,3368
360,35250145,40576,5952
361,35250146,40832,5904
362,35250147,37632,4352
363,35250148,35712,6592
364,35250149,39424,3152
365,35250150,34688,12800
366,35250151,36992,5808
367,35250152,38464,7840
368,35250153,39360,7920
369,35250156,34432,3336
370,35250158,45696,4976
371,35250159,38528,4512
372,35250160,43904,3176
373,35250161,51328,3851
374,35250162,40832,4496
375,35250163,38976,10080
376,35250164,30144,11760
377,35250172,30144,4504
378,35250173,39381,4072
379,35250175,29248,5200
380,35250176,33152,2984
381,35250177,31936,6416
382,35250178,30272,2608
383,35250179,31744,1964
384,35250180,32128,4944
385,35250181,29632,4448
386,35250183,0,0
387,35250184,35712,2072
388,35250185,32320,4160
389,35250186,21440,5840
390,35250188,37312,4960
391,35250189,35584,3688
392,35250190,24384,5648
393,35250191,29760,6416
394,35250192,38400,3540
395,35250193,30272,3880
396,35250194,35712,5035
397,35250196,36224,5328
398,35250197,30528,4056
399,35250199,31424,5784
400,35250200,30016,7376
401,35250201,26880,8288
402,35250202,23872,6880
403,35250203,21120,7888
404,35250204,17376,8768
405,35250205,0,0
406,35250206,27712,6056
407,35250207,29120,8736
408,35250208,35840,9312
409,35250209,25536,10848
410,35250210,31424,7088
411,35250211,14880,14784
412,35250212,31168,11296
413,35250213,31296,10624
414,35250216,27968,9120
415,35250217,24384,9440
416,35250218,21984,6976
417,35250221,22912,10208
418,35250222,35328,9152
419,35250223,33664,9728
420,35250224,17728,11008
421,35250225,29888,9504
422,35250226,25024,13536
423,35250227,23136,9120
424,35250230,22976,8416
425,35250231,22848,7216
426,35250232,18688,12928
427,35250233,20864,11168
428,35250234,21632,5808
429,35250238,20448,11232
430,35250239,18624,10528
431,35250240,18368,9520
432,35250241,18496,8224
433,35250242,0,0
434,35250243,25536,9888
435,35250248,27584,6192
436,35250249,21824,12608
437,35250250,38336,6192
438,35250251,22784,7120
439,35250254,33408,7760
440,35250255,30048,10400
441,35250256,28864,11424
442,35250257,24416,13472
443,35250258,27776,13776
444,35250259,29504,8336
445,35250260,25472,14048
446,35250261,21696,11808
447,35250262,25120,10880
448,35250263,33493,6608
449,35250264,31168,6656
450,35250265,32384,6736
451,35250266,28480,8992
452,35250267,29184,6128
453,35250269,43136,8544
454,35250270,36480,7696
455,35250271,29888,9568
456,35250272,27328,14368
457,35250273,27712,7664
458,35250274,29216,5616
459,35250275,30784,7488
460,35250276,28864,7008
461,35250277,27648,7056
462,35250278,30656,6136
463,35250279,26432,8864
464,35250280,27328,6112
465,35250281,21728,6736
466,35250282,28608,7280
467,35250283,27456,7256
468,35250284,26880,9952
469,35250285,32896,7504
470,35250286,29760,8768
471,35250287,38272,5144
472,35250288,28096,7408
473,35250289,28864,6808
474,35250290,25024,6032
475,35250291,28512,3160
476,35250293,30144,8928
477,35250294,30912,3896
478,35250295,29504,4432
479,35250296,37248,7099
480,35250297,26368,6920
481,35250298,36864,4528
482,35250299,24992,6816
483,35250300,36032,6176
484,35250302,39296,9344
485,35250303,25664,10208
486,35250304,32320,8816
487,35250305,26560,6736
488,35250306,31040,6384
489,35250307,27904,7488
490,35250308,33920,4464
491,35250309,27968,2264
492,35250310,37504,3416
493,35250311,28373,5664
494,35250312,28608,6096
495,35250313,29952,7144
496,35250315,31168,13877
497,35250316,40533,6320
498,35250317,33664,3848
499,35250318,0,0
500,35250319,19008,6448
501,35250320,28160,8416
502,35250321,24512,9344
503,35250322,28736,6608
504,35250323,26304,8480
505,35250324,14592,14667
506,35250326,21856,9760
507,35250327,20128,12128
508,35250328,29376,6160
509,35250329,23168,5312
510,35250330,25792,8336
511,35250331,17856,13328
512,35250332,28672,7184
513,35250333,28224,6832
514,35250334,26848,5184
515,35250335,28128,8608
516,35250336,26475,6688
517,35250337,29312,11296
518,35250338,22976,8960
519,35250339,37248,5392
520,35250340,28608,6096
521,35250341,25280,7088
522,35250342,25600,7056
523,35250343,34304,7200
524,35250344,37568,6800
525,35250345,37760,6096
526,35250346,35968,5904
527,35250347,30528,9568
528,35250348,40064,6976
529,35250349,28000,7472
530,35250350,19328,7584
531,35250351,27072,13264
532,35250352,31104,7072
533,35250353,24000,11472
534,35250354,35712,5048
535,35250355,36608,8688
536,35250356,31168,6368
537,35250357,36096,5536
538,35250358,32384,7776
539,35250359,30400,6752
540,35250360,30656,5104
541,35250361,34304,6256
542,35250362,30400,7088
543,35250363,39744,5440
544,35250364,0,0
545,35250365,27968,11072
546,35250366,24704,6936
547,35250367,29696,5616
548,35250368,32533,6928
549,35250369,26528,6272
550,35250370,33408,4720
551,35250371,29504,6416
552,35250372,38016,6224
553,35250373,31168,8144
554,35250374,32640,5776
555,35250375,33920,6320
556,35250376,33664,4792
557,35250377,29312,6768
558,35250378,37504,5152
559,35250379,33408,11488
560,35250380,33664,3352
561,35250381,34432,6984
562,35250382,31104,5776
563,35250383,18752,10080
564,35250384,15792,5000
565,35250385,32512,4192
566,35250387,51328,3080
567,35250388,48256,3352
568,35250389,36864,2992
569,35250390,33152,1620
570,35250391,36224,2488
571,35250392,38912,2680
572,35250393,36800,2840
573,35250394,24704,1076
574,35250395,19648,9760
575,35250396,26432,7616
576,35250397,24640,600
577,35250398,4656,9677
578,35250399,6960,11061
579,35250400,24000,2888
580,35250401,26656,726
581,35250402,33536,3376
582,35250403,32085,5056
583,35250404,31808,4512
584,35250405,34432,2992
585,35250406,22720,2856
586,35250407,25536,4856
587,35250408,19168,4736
588,35250409,25664,11424
589,35250410,37504,3568
590,35250411,34560,6416
591,35250412,21792,14912
