geo_code,,between 5am and 5:59,between 6am and 6:59,between 7am and 7:59,between 8am and 8:59,between 9am and 11:59,between 12pm and 4:49 am
35250055,female,15,15,45,70,15,20
35250055,male,25,30,25,40,10,25
35250056,female,0,0,15,25,0,0
35250056,male,0,15,25,10,0,0
35250059,female,10,20,90,90,35,40
35250059,male,20,70,70,75,40,40
35250060,female,10,10,70,35,20,10
35250060,male,0,20,50,25,0,15
35250061,female,0,15,20,20,10,15
35250061,male,0,10,40,25,10,0
35250062,female,0,20,35,35,35,0
35250062,male,10,30,30,30,25,0
35250064,female,10,25,40,65,45,0
35250064,male,15,20,55,50,10,25
35250065,female,0,25,20,35,30,15
35250065,male,10,15,25,50,10,15
35250066,female,0,0,35,15,15,0
35250066,male,10,25,20,20,10,0
35250067,female,0,0,55,45,10,20
35250067,male,0,35,40,40,10,20
35250070,female,0,15,35,25,15,0
35250070,male,10,20,30,20,15,0
35250073,female,0,15,30,35,10,40
35250073,male,20,20,15,10,0,45
35250074,female,0,10,25,15,10,0
35250074,male,10,15,15,15,0,0
35250075,female,0,15,30,15,0,20
35250075,male,10,35,25,10,15,25
35250077,female,0,35,20,25,30,30
35250077,male,0,40,30,20,15,20
35250078,female,0,10,25,35,20,15
35250078,male,25,10,35,10,10,15
35250079,female,0,10,15,15,0,0
35250079,male,0,25,0,10,0,20
35250080,female,0,35,40,30,15,10
35250080,male,10,25,20,10,10,50
35250081,female,20,35,65,50,25,55
35250081,male,45,60,45,15,15,60
35250082,female,0,10,15,0,10,10
35250082,male,10,20,0,15,0,10
35250083,female,0,20,25,35,20,25
35250083,male,10,10,25,35,0,35
35250084,female,0,15,0,10,10,10
35250084,male,10,10,20,15,0,20
35250085,female,0,10,15,35,0,10
35250085,male,15,10,15,10,0,35
35250086,female,0,25,20,35,25,0
35250086,male,10,10,30,30,0,15
35250087,female,0,10,10,30,15,30
35250087,male,15,15,0,10,15,35
35250088,female,0,0,50,15,0,10
35250088,male,10,25,10,20,0,0
35250089,female,10,25,25,35,0,35
35250089,male,10,15,30,10,0,15
35250093,female,0,20,15,30,30,25
35250093,male,25,40,15,25,25,15
35250094,female,10,20,15,25,0,15
35250094,male,0,15,15,20,10,15
35250095,female,20,15,10,20,20,0
35250095,male,15,20,10,10,20,30
35250096,female,0,15,25,60,15,35
35250096,male,40,10,25,15,20,20
35250097,female,0,15,10,20,10,10
35250097,male,0,10,15,0,10,10
35250098,female,0,10,0,0,0,10
35250098,male,10,0,10,15,10,10
35250099,female,15,25,35,50,20,0
35250099,male,10,40,40,45,35,35
35250100,female,0,10,35,35,25,15
35250100,male,10,20,40,20,0,15
35250101,female,0,0,35,30,10,10
35250101,male,10,25,20,25,0,35
35250102,female,0,10,10,25,15,0
35250102,male,0,10,25,15,10,20
35250105,female,0,20,35,35,15,0
35250105,male,10,45,30,35,10,25
35250106,female,0,15,20,40,10,10
35250106,male,10,30,10,35,10,15
35250107,female,10,10,45,45,20,20
35250107,male,15,25,15,20,20,30
35250108,female,0,10,20,30,0,0
35250108,male,0,30,25,10,25,30
35250109,female,0,35,35,45,20,15
35250109,male,15,35,35,30,10,0
35250110,female,0,25,30,30,10,20
35250110,male,20,20,20,30,10,35
35250111,female,0,10,30,20,10,20
35250111,male,10,20,15,10,0,15
35250112,female,15,0,25,15,10,0
35250112,male,10,20,25,10,15,10
35250113,female,0,0,25,10,0,20
35250113,male,10,20,25,15,0,40
35250114,female,0,10,25,20,10,0
35250114,male,10,25,20,0,0,20
35250115,female,10,45,70,75,60,80
35250115,male,25,45,55,55,30,115
35250116,female,15,15,40,50,20,65
35250116,male,35,35,25,25,25,35
35250117,female,0,15,15,0,10,20
35250117,male,15,15,15,0,0,10
35250118,female,0,0,40,20,10,35
35250118,male,10,15,25,0,10,20
35250119,female,10,0,30,10,30,25
35250119,male,15,20,30,15,10,20
35250120,female,10,25,40,30,0,15
35250120,male,15,10,40,0,10,30
35250121,female,15,30,40,20,10,45
35250121,male,15,25,10,10,10,20
35250122,female,0,20,10,10,15,10
35250122,male,20,20,15,10,10,10
35250123,female,10,10,15,25,15,15
35250123,male,15,20,20,10,10,40
35250124,female,0,10,15,25,15,35
35250124,male,10,20,10,10,15,30
35250125,female,10,0,25,15,0,20
35250125,male,10,15,10,20,10,15
35250126,female,10,10,25,15,10,40
35250126,male,20,30,25,15,20,30
35250127,female,0,45,110,135,25,70
35250127,male,60,90,110,75,20,45
35250128,female,0,30,15,45,20,15
35250128,male,20,20,45,15,20,25
35250129,female,0,15,15,15,15,15
35250129,male,10,25,10,20,10,15
35250130,female,0,20,30,20,10,20
35250130,male,10,35,20,35,0,0
35250133,female,0,0,0,0,10,0
35250133,male,0,10,0,0,0,0
35250134,female,0,15,25,55,20,25
35250134,male,15,20,40,25,10,40
35250135,female,0,50,155,110,70,60
35250135,male,45,115,100,80,75,35
35250136,female,0,10,25,25,10,20
35250136,male,0,10,25,15,10,0
35250137,female,0,10,15,50,0,15
35250137,male,10,15,20,20,10,10
35250144,female,0,55,130,75,55,40
35250144,male,40,70,100,105,50,45
35250145,female,10,10,30,30,15,25
35250145,male,10,10,40,20,20,10
35250146,female,10,0,35,60,25,15
35250146,male,35,55,55,45,15,15
35250147,female,10,0,30,30,10,0
35250147,male,10,10,25,15,10,0
35250148,female,0,20,30,30,20,20
35250148,male,10,40,45,15,20,25
35250149,female,10,20,40,40,10,15
35250149,male,10,10,35,25,30,25
35250150,female,0,10,50,30,15,15
35250150,male,15,40,20,15,15,20
35250151,female,0,0,45,40,0,10
35250151,male,10,20,20,20,15,15
35250152,female,10,35,45,60,65,50
35250152,male,25,55,85,50,55,45
35250153,female,0,0,55,45,10,10
35250153,male,20,35,40,25,10,25
35250156,female,0,10,30,15,25,0
35250156,male,15,10,20,30,10,10
35250158,female,0,15,20,40,15,0
35250158,male,10,10,55,40,10,15
35250159,female,0,0,15,40,25,0
35250159,male,0,30,15,30,0,0
35250160,female,0,15,10,35,10,10
35250160,male,0,25,20,20,10,0
35250161,female,0,10,45,45,40,15
35250161,male,0,15,80,30,30,15
35250162,female,0,15,30,25,25,15
35250162,male,10,10,45,40,10,0
35250163,female,0,0,10,50,15,0
35250163,male,0,25,45,35,20,15
35250164,female,0,0,15,45,0,30
35250164,male,15,20,25,15,15,0
35250172,female,0,10,55,10,10,10
35250172,male,20,15,30,15,0,15
35250173,female,10,35,90,125,40,30
35250173,male,65,70,70,50,10,40
35250175,female,50,55,75,65,55,70
35250175,male,85,105,75,45,25,80
35250176,female,10,30,30,40,20,25
35250176,male,30,35,60,30,0,65
35250177,female,10,25,45,55,0,15
35250177,male,20,25,45,10,15,40
35250178,female,10,20,60,35,0,10
35250178,male,25,20,45,30,10,35
35250179,female,10,20,30,50,25,30
35250179,male,60,45,50,30,15,40
35250180,female,25,55,120,75,45,60
35250180,male,35,110,70,80,50,60
35250181,female,0,35,25,25,10,20
35250181,male,15,15,15,30,10,25
35250183,female,0,0,20,15,15,10
35250183,male,10,20,20,15,0,15
35250184,female,0,15,45,35,10,10
35250184,male,15,15,35,15,0,10
35250185,female,0,0,40,15,10,25
35250185,male,0,35,10,10,10,20
35250186,female,0,15,15,20,10,10
35250186,male,15,10,10,15,0,15
35250188,female,10,25,60,70,20,10
35250188,male,30,45,45,40,10,45
35250189,female,20,10,40,50,15,35
35250189,male,30,35,60,45,10,50
35250190,female,0,15,40,15,0,10
35250190,male,25,0,30,0,10,25
35250191,female,0,20,65,45,25,30
35250191,male,15,65,55,0,10,25
35250192,female,0,55,120,110,50,35
35250192,male,60,95,85,45,35,90
35250193,female,0,10,30,30,0,15
35250193,male,0,25,15,20,0,15
35250194,female,0,20,30,25,20,0
35250194,male,15,35,20,15,25,20
35250196,female,0,10,55,15,10,15
35250196,male,0,35,20,10,10,30
35250197,female,10,15,25,20,15,0
35250197,male,0,35,20,25,10,25
35250199,female,20,100,210,145,95,90
35250199,male,75,155,150,115,50,120
35250200,female,10,0,45,35,15,30
35250200,male,25,25,45,15,30,10
35250201,female,0,0,0,10,15,10
35250201,male,0,0,10,10,0,10
35250202,female,10,30,40,30,40,55
35250202,male,60,50,35,35,15,75
35250203,female,25,30,40,30,30,50
35250203,male,50,80,25,10,25,50
35250204,female,15,40,55,10,10,35
35250204,male,20,50,40,25,20,50
35250205,female,0,10,10,25,0,0
35250205,male,15,20,10,0,10,10
35250206,female,10,20,30,30,15,20
35250206,male,35,35,30,20,10,15
35250207,female,10,0,0,25,20,15
35250207,male,10,25,20,20,0,15
35250208,female,0,10,40,20,0,20
35250208,male,20,15,40,10,0,20
35250209,female,0,0,10,40,10,20
35250209,male,0,20,25,10,10,0
35250210,female,0,15,15,50,20,15
35250210,male,20,30,30,10,10,25
35250211,female,0,0,10,15,10,0
35250211,male,10,10,10,15,0,10
35250212,female,10,15,30,15,10,15
35250212,male,10,35,30,15,10,15
35250213,female,0,20,15,10,10,0
35250213,male,10,0,15,25,15,15
35250216,female,0,0,25,20,15,15
35250216,male,0,20,25,0,15,20
35250217,female,10,25,25,30,10,45
35250217,male,25,25,25,20,15,40
35250218,female,10,35,20,20,10,30
35250218,male,10,50,20,20,0,15
35250221,female,10,0,45,0,15,10
35250221,male,40,40,10,15,20,35
35250222,female,10,20,30,10,10,15
35250222,male,10,35,15,10,10,20
35250223,female,15,10,30,25,0,0
35250223,male,25,35,40,0,15,0
35250224,female,0,0,25,0,15,15
35250224,male,25,25,20,0,0,10
35250225,female,10,10,10,15,15,10
35250225,male,0,30,20,0,10,25
35250226,female,0,25,25,25,10,30
35250226,male,15,20,20,10,10,20
35250227,female,30,15,30,25,25,15
35250227,male,25,20,20,20,15,35
35250230,female,15,0,35,0,15,10
35250230,male,25,50,40,0,0,40
35250231,female,0,25,15,35,15,10
35250231,male,30,35,25,0,0,35
35250232,female,15,10,20,25,10,25
35250232,male,15,25,20,15,25,15
35250233,female,10,35,10,25,10,20
35250233,male,0,35,35,10,10,25
35250234,female,10,15,10,15,30,25
35250234,male,10,10,15,10,20,25
35250238,female,15,15,25,10,10,35
35250238,male,0,40,30,15,20,85
35250239,female,0,0,15,10,15,10
35250239,male,10,15,30,15,0,25
35250240,female,15,10,0,10,10,40
35250240,male,25,15,10,0,15,35
35250241,female,0,10,10,10,15,15
35250241,male,15,0,10,15,0,40
35250242,female,x,x,x,x,x,x
35250242,male,x,x,x,x,x,x
35250243,female,10,35,35,45,30,15
35250243,male,30,35,45,25,10,15
35250248,female,20,40,35,60,10,40
35250248,male,50,30,40,40,10,45
35250249,female,0,10,10,10,15,10
35250249,male,20,20,20,10,0,10
35250250,female,0,15,15,20,20,10
35250250,male,20,30,30,0,0,10
35250251,female,10,0,20,25,0,20
35250251,male,25,40,10,10,10,15
35250254,female,0,35,40,35,20,35
35250254,male,30,55,40,0,15,15
35250255,female,10,10,50,25,10,0
35250255,male,25,25,20,10,0,30
35250256,female,15,15,45,30,0,25
35250256,male,20,45,35,10,0,20
35250257,female,0,25,20,35,10,15
35250257,male,15,45,25,30,0,30
35250258,female,0,10,20,35,15,35
35250258,male,10,35,25,20,10,30
35250259,female,0,0,45,25,10,25
35250259,male,0,40,50,10,10,25
35250260,female,10,20,30,25,20,20
35250260,male,10,20,25,25,10,10
35250261,female,10,10,10,15,25,20
35250261,male,30,20,10,0,0,15
35250262,female,10,25,30,20,25,30
35250262,male,25,15,35,25,0,20
35250263,female,15,15,65,50,35,40
35250263,male,20,60,55,45,30,45
35250264,female,15,0,10,30,10,15
35250264,male,15,10,40,15,10,0
35250265,female,0,15,25,10,30,10
35250265,male,0,15,20,35,20,0
35250266,female,0,0,0,20,15,10
35250266,male,20,0,15,20,10,20
35250267,female,0,10,35,50,15,25
35250267,male,25,25,50,10,15,20
35250269,female,10,10,15,0,0,10
35250269,male,10,10,0,10,0,10
35250270,female,0,20,30,25,10,15
35250270,male,10,15,15,10,0,15
35250271,female,10,10,25,20,15,0
35250271,male,20,20,25,0,10,30
35250272,female,0,0,10,10,10,10
35250272,male,10,10,15,0,0,15
35250273,female,0,0,30,10,10,15
35250273,male,15,30,15,15,10,15
35250274,female,20,35,65,55,20,55
35250274,male,40,50,70,30,30,35
35250275,female,0,15,50,15,10,10
35250275,male,15,40,20,15,10,40
35250276,female,10,40,30,25,10,30
35250276,male,15,25,20,45,10,35
35250277,female,10,10,15,20,15,10
35250277,male,10,20,0,15,10,20
35250278,female,0,20,30,20,15,20
35250278,male,15,40,15,10,10,20
35250279,female,15,20,20,55,10,25
35250279,male,25,35,40,15,15,40
35250280,female,10,20,30,20,15,20
35250280,male,10,15,20,15,20,20
35250281,female,10,25,10,35,15,0
35250281,male,25,30,15,10,0,25
35250282,female,0,0,30,40,25,0
35250282,male,35,40,10,20,10,15
35250283,female,0,10,30,25,30,25
35250283,male,20,30,25,10,0,20
35250284,female,0,10,15,15,10,15
35250284,male,10,20,10,35,10,15
35250285,female,10,40,25,55,30,20
35250285,male,20,35,30,30,25,30
35250286,female,10,10,15,15,10,20
35250286,male,10,10,35,0,0,20
35250287,female,10,30,80,40,15,15
35250287,male,40,40,50,25,0,35
35250288,female,0,0,40,25,20,10
35250288,male,0,35,25,15,10,20
35250289,female,10,20,45,20,15,15
35250289,male,15,40,40,15,15,20
35250290,female,0,25,55,35,10,35
35250290,male,15,25,55,20,25,20
35250291,female,15,45,65,65,25,55
35250291,male,15,55,50,50,15,50
35250293,female,20,10,40,30,25,45
35250293,male,55,45,40,35,15,50
35250294,female,10,25,10,45,15,25
35250294,male,0,30,35,0,10,35
35250295,female,10,15,30,20,0,20
35250295,male,10,30,15,15,0,40
35250296,female,0,15,45,40,25,15
35250296,male,0,35,10,15,15,10
35250297,female,0,25,30,25,25,15
35250297,male,20,30,35,10,0,25
35250298,female,0,15,50,50,10,10
35250298,male,0,40,30,35,0,10
35250299,female,0,10,25,40,10,15
35250299,male,10,40,30,10,35,30
35250300,female,0,10,55,80,30,20
35250300,male,10,55,80,35,25,45
35250302,female,10,10,20,35,20,0
35250302,male,0,25,25,15,10,0
35250303,female,0,20,25,25,15,10
35250303,male,0,20,20,15,10,15
35250304,female,0,15,25,30,30,20
35250304,male,35,25,35,40,15,15
35250305,female,10,15,25,25,20,25
35250305,male,20,45,20,20,0,25
35250306,female,0,20,15,30,15,0
35250306,male,25,25,35,10,0,10
35250307,female,0,20,30,20,15,10
35250307,male,10,40,30,20,0,15
35250308,female,10,25,90,75,30,45
35250308,male,20,35,65,35,15,55
35250309,female,0,0,35,25,15,10
35250309,male,10,25,25,15,0,0
35250310,female,0,0,30,20,30,10
35250310,male,20,25,20,25,10,20
35250311,female,10,30,30,75,15,10
35250311,male,35,25,50,15,10,20
35250312,female,10,10,20,25,20,25
35250312,male,10,50,35,20,0,10
35250313,female,10,15,60,45,30,10
35250313,male,25,30,40,30,20,20
35250315,female,0,20,40,15,30,25
35250315,male,10,15,25,10,15,15
35250316,female,15,25,60,55,10,25
35250316,male,15,20,45,25,10,15
35250317,female,0,20,55,35,15,0
35250317,male,15,25,15,35,15,20
35250318,female,0,0,0,10,0,0
35250318,male,0,0,10,10,15,0
35250319,female,10,10,35,20,0,40
35250319,male,40,20,20,10,15,25
35250320,female,30,10,15,30,10,20
35250320,male,15,30,25,10,10,20
35250321,female,0,0,20,10,25,10
35250321,male,0,20,15,10,0,25
35250322,female,20,30,10,10,20,10
35250322,male,10,20,25,10,0,15
35250323,female,0,25,20,15,10,30
35250323,male,15,45,20,10,0,25
35250324,female,15,20,20,30,10,15
35250324,male,20,20,0,10,0,0
35250326,female,0,15,20,20,10,20
35250326,male,15,40,15,15,0,15
35250327,female,15,20,15,15,20,40
35250327,male,20,30,30,20,10,40
35250328,female,0,15,15,35,15,25
35250328,male,10,25,20,10,10,10
35250329,female,20,35,15,25,0,20
35250329,male,40,40,25,10,0,35
35250330,female,0,10,25,20,20,10
35250330,male,10,15,15,10,0,0
35250331,female,0,20,10,20,15,15
35250331,male,0,25,10,0,10,20
35250332,female,10,15,50,25,0,30
35250332,male,35,35,45,0,10,15
35250333,female,20,15,40,50,20,20
35250333,male,25,20,55,0,15,35
35250334,female,10,35,50,25,20,20
35250334,male,15,45,20,20,10,15
35250335,female,10,10,10,25,15,10
35250335,male,20,35,10,0,0,20
35250336,female,10,0,15,30,10,25
35250336,male,10,25,25,15,0,25
35250337,female,20,30,45,40,30,30
35250337,male,40,40,50,25,0,25
35250338,female,15,20,20,25,40,25
35250338,male,50,30,40,15,10,35
35250339,female,10,30,35,30,20,10
35250339,male,25,20,45,25,10,40
35250340,female,0,10,20,20,10,10
35250340,male,15,30,15,10,0,15
35250341,female,10,25,45,15,25,25
35250341,male,20,25,25,10,0,20
35250342,female,10,20,30,25,15,25
35250342,male,10,25,25,25,10,30
35250343,female,10,10,35,45,10,20
35250343,male,10,30,20,15,10,10
35250344,female,0,10,25,35,10,20
35250344,male,20,10,0,15,10,50
35250345,female,10,30,25,25,0,40
35250345,male,15,35,20,15,10,30
35250346,female,0,40,40,30,10,10
35250346,male,10,35,25,10,0,25
35250347,female,10,10,35,25,10,20
35250347,male,10,35,35,0,20,40
35250348,female,10,10,30,60,15,15
35250348,male,35,35,15,50,0,30
35250349,female,0,15,20,50,25,15
35250349,male,35,20,20,15,0,10
35250350,female,10,25,15,30,20,45
35250350,male,25,40,35,15,10,55
35250351,female,0,15,15,25,10,15
35250351,male,0,10,0,0,10,25
35250352,female,15,25,30,15,15,50
35250352,male,30,45,30,15,10,20
35250353,female,10,25,20,15,20,20
35250353,male,25,40,15,15,0,35
35250354,female,0,15,35,35,25,15
35250354,male,10,30,25,35,20,10
35250355,female,0,35,20,25,10,10
35250355,male,15,50,20,15,15,15
35250356,female,10,25,45,45,10,10
35250356,male,15,40,30,25,10,40
35250357,female,0,35,45,35,10,40
35250357,male,20,50,35,25,0,45
35250358,female,0,30,20,20,20,10
35250358,male,10,60,20,15,10,20
35250359,female,0,10,15,35,15,40
35250359,male,25,30,15,20,10,20
35250360,female,10,15,50,30,10,30
35250360,male,25,40,20,10,10,35
35250361,female,20,15,20,25,0,10
35250361,male,10,15,35,10,0,30
35250362,female,15,25,40,30,15,15
35250362,male,25,35,30,10,15,35
35250363,female,0,0,35,25,10,25
35250363,male,20,35,20,25,0,0
35250364,female,0,10,15,15,10,30
35250364,male,0,10,10,0,10,15
35250365,female,15,30,60,80,20,55
35250365,male,25,80,25,40,25,25
35250366,female,15,15,30,20,15,20
35250366,male,20,30,35,20,15,25
35250367,female,15,15,20,25,10,30
35250367,male,15,30,20,25,0,20
35250368,female,10,20,20,55,20,10
35250368,male,35,20,30,10,10,30
35250369,female,0,25,40,30,10,15
35250369,male,10,40,40,10,10,30
35250370,female,0,15,40,20,25,10
35250370,male,20,30,20,0,10,20
35250371,female,10,20,25,25,25,30
35250371,male,10,25,30,20,0,20
35250372,female,10,20,45,35,0,10
35250372,male,20,35,15,10,10,25
35250373,female,0,15,25,15,10,20
35250373,male,10,15,30,15,15,10
35250374,female,0,15,35,40,0,25
35250374,male,15,20,35,10,10,45
35250375,female,10,20,25,20,25,30
35250375,male,25,55,35,15,20,15
35250376,female,10,20,30,35,10,30
35250376,male,0,40,35,25,0,30
35250377,female,20,10,45,25,20,15
35250377,male,40,40,20,0,10,30
35250378,female,0,25,50,20,15,35
35250378,male,25,35,35,20,10,35
35250379,female,0,25,20,15,20,10
35250379,male,10,10,15,10,0,20
35250380,female,10,10,30,25,55,0
35250380,male,0,35,45,35,0,20
35250381,female,10,30,30,10,10,15
35250381,male,10,20,10,15,10,15
35250382,female,0,15,30,40,30,10
35250382,male,25,20,40,25,10,20
35250383,female,0,15,20,15,0,15
35250383,male,15,25,25,10,20,40
35250384,female,0,10,10,30,10,0
35250384,male,20,25,10,10,25,80
35250385,female,0,15,50,15,15,15
35250385,male,10,20,30,15,0,30
35250387,female,10,0,35,35,20,10
35250387,male,0,10,30,45,30,0
35250388,female,0,25,20,55,20,0
35250388,male,15,15,25,40,10,10
35250389,female,0,0,30,50,10,0
35250389,male,0,25,40,15,15,10
35250390,female,0,30,30,70,15,30
35250390,male,15,10,45,15,10,15
35250391,female,0,15,45,45,25,25
35250391,male,0,25,55,35,15,30
35250392,female,10,15,40,55,30,25
35250392,male,0,15,30,45,15,0
35250393,female,0,20,20,40,15,35
35250393,male,0,40,30,25,10,20
35250394,female,10,15,45,35,25,35
35250394,male,20,40,20,45,25,50
35250395,female,10,10,40,40,10,0
35250395,male,10,35,15,30,30,40
35250396,female,10,30,15,50,20,35
35250396,male,20,35,35,10,20,25
35250397,female,10,35,30,50,30,35
35250397,male,0,40,35,15,25,30
35250398,female,0,0,0,0,10,10
35250398,male,0,10,10,0,10,20
35250399,female,0,0,0,0,0,20
35250399,male,0,10,0,15,15,10
35250400,female,0,35,30,35,30,50
35250400,male,15,30,20,25,30,15
35250401,female,10,50,30,20,35,50
35250401,male,20,30,20,45,25,35
35250402,female,0,15,30,30,20,20
35250402,male,0,25,25,25,0,25
35250403,female,0,20,45,55,20,20
35250403,male,0,35,60,35,35,25
35250404,female,0,20,35,25,25,10
35250404,male,20,10,25,0,25,15
35250405,female,0,20,30,35,20,0
35250405,male,0,25,30,10,30,20
35250406,female,0,25,50,50,25,30
35250406,male,25,40,15,20,25,15
35250407,female,0,25,20,25,30,40
